"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168660","TestBootstrapSuite/TestBootstrapWithTransparentProxyUsingOverrideJSON","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","3430860","TestBootstrapSuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","17720","TestPcibackErrorSuite/TestReportAssignmentGroupConflict","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","128919","TestApplicationConnectivitySuite/TestAirGapSwitchNI","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","2138320","TestUpgradeSuite/TestEVEUpgradeKubevirtToKubevirt","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/upgrade","github.com/lf-edge/eve/evetest/tests/upgrade",""
"","301790","TestApplicationConnectivitySuite/TestSwitchNI","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","3863110","TestNodeClusterSuite/TestThreeNodesCluster","","2026-09-04","failed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/cluster","github.com/lf-edge/eve/evetest/tests/cluster",""
"","407980","TestTelemetrySuite/TestRemoteLogLevelNone","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","241990","TestApplicationConnectivitySuite/TestSwitchNetInstanceACLs","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","799690","TestApplicationConnectivitySuite/TestLocalNIWithMultiplePorts","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","365260","TestDeviceConnectivitySuite/TestActiveBackupBond","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","13680","TestPcibackErrorSuite/TestReportParentAssigngrp","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","817120","TestControllerFaultsSuite/TestInfoRetriedAfterServerError","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/controllerfaults","github.com/lf-edge/eve/evetest/tests/controllerfaults",""
"","1216380","TestControllerFaultsSuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/controllerfaults","github.com/lf-edge/eve/evetest/tests/controllerfaults",""
"","238740","TestDiagSuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/diag","github.com/lf-edge/eve/evetest/tests/diag",""
"","226630","TestApplicationConnectivitySuite/TestLocalNetInstanceACLs","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","277760","TestStorageSuite/TestZVolProvisionedSizeReported","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","247250","TestAppsSuite/TestAppUserData","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/apps","github.com/lf-edge/eve/evetest/tests/apps",""
"","594870","TestStorageSuite/TestVolumes","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/storage","github.com/lf-edge/eve/evetest/tests/storage",""
"","148960","TestTelemetrySuite/TestHardwareInventory","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/telemetry","github.com/lf-edge/eve/evetest/tests/telemetry",""
"","761890","TestApplicationConnectivitySuite/TestStagedNICChange","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","590000","TestDatastoreSuite","","2026-09-04","passed","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
"","0","TestDatastoreSuite/TestAzureDatastore","","2026-09-04","skipped","2026-09-04","","github.com/lf-edge/eve/evetest/tests/networking","github.com/lf-edge/eve/evetest/tests/networking",""
